startDate,endDate,Date,gps x,gps y,Mobile User,Loan ID,Transaction ID,Kantite lajan ou dwe / Amount Owed,Montan Peman an / Amount Paid,Dat Peman / Payment Date,Currency,Status
startDate,endDate,Date,gps x,gps y,Mobile User,loan_id,transaction_id,amount_owed,montan_peman_an_amount_paid,date_of_transaction,currency,status_1
2021-03-10 04:24:01-0600,2021-03-10 04:24:18-0600,3/10/2021,,,Entrepreneur Community 10,L-1121,T-12422,625,500,3/10/2021,HTG,Processed
2021-03-10 04:24:17-0600,2021-03-10 04:24:35-0600,3/10/2021,,,Entrepreneur Community 10,L-0136,T-1332,500,500,3/10/2021,HTG,Processed
2021-03-10 04:25:09-0600,2021-03-10 04:25:49-0600,3/10/2021,,,Entrepreneur Community 10,L-0150,T-1458,625,500,3/10/2021,HTG,Processed
2021-03-10 04:25:10-0600,2021-03-10 04:25:30-0600,3/10/2021,,,Entrepreneur Community 10,L-0443,T-4253,625,625,3/10/2021,HTG,Processed
2021-03-10 04:27:11-0600,2021-03-10 04:27:23-0600,3/10/2021,,,Entrepreneur Community 10,L-0150,T-1458,625,625,3/10/2021,HTG,Processed
2021-03-10 04:28:23-0600,2021-03-10 04:28:31-0600,3/10/2021,,,Entrepreneur Community 10,L-0172,T-1669,500,500,3/10/2021,HTG,Processed
2021-03-10 04:30:04-0600,2021-03-10 04:30:19-0600,3/10/2021,,,Entrepreneur Community 10,L-0138,T-1350,625,625,3/10/2021,HTG,Processed
2021-03-10 04:31:32-0600,2021-03-10 04:32:05-0600,3/10/2021,,,Entrepreneur Community 10,L-0145,T-1412,595,625,3/10/2021,HTG,Processed
2021-03-10 04:33:03-0600,2021-03-10 04:33:11-0600,3/10/2021,,,Entrepreneur Community 10,L-0173,T-1678,500,500,3/10/2021,HTG,Processed
2021-03-10 04:34:04-0600,2021-03-10 04:34:12-0600,3/10/2021,,,Entrepreneur Community 10,L-0173,T-1679,500,500,3/10/2021,HTG,Processed
2021-03-10 04:36:09-0600,2021-03-10 04:36:19-0600,3/10/2021,,,Entrepreneur Community 10,L-1736,T-19546,1350,1350,3/10/2021,HTG,Processed
2021-03-10 04:43:04-0600,2021-03-10 04:43:19-0600,3/10/2021,,,Entrepreneur Community 10,L-0136,T-1332,500,500,3/10/2021,HTG,Processed
2021-03-10 04:44:30-0600,2021-03-10 04:44:46-0600,3/10/2021,,,Entrepreneur Community 10,L-0159,T-1538,375,375,3/10/2021,HTG,Processed
2021-03-10 04:45:49-0600,2021-03-10 04:46:01-0600,3/10/2021,,,Entrepreneur Community 10,L-0173,T-1678,500,500,3/10/2021,HTG,Processed
2021-03-10 04:47:12-0600,2021-03-10 04:47:22-0600,3/10/2021,,,Entrepreneur Community 10,L-1121,T-12421,625,625,3/10/2021,HTG,Processed
2021-03-10 04:48:04-0600,2021-03-10 04:48:24-0600,3/10/2021,,,Entrepreneur Community 10,L-1121,T-12422,625,500,3/10/2021,HTG,Processed
2021-03-10 04:49:06-0600,2021-03-10 04:49:15-0600,3/10/2021,,,Entrepreneur Community 10,L-1121,T-12422,625,500,3/10/2021,HTG,Processed
2021-03-10 04:50:03-0600,2021-03-10 04:50:14-0600,3/10/2021,,,Entrepreneur Community 10,L-0443,T-4250,625,625,3/10/2021,HTG,Processed
2021-06-22 09:10:33-0600,2021-06-22 09:10:45-0600,6/22/2021,,,Entrepreneur Community 11,L-0338,T-3204,500,500,6/22/2021,HTG,Processed
2021-06-22 09:11:34-0600,2021-06-22 09:11:39-0600,6/22/2021,,,Entrepreneur Community 11,L-0339,T-3213,500,500,6/22/2021,HTG,Processed
2021-06-22 09:12:15-0600,2021-06-22 09:12:22-0600,6/22/2021,,,Entrepreneur Community 11,L-0340,T-3222,500,500,6/22/2021,HTG,Processed
2021-06-22 09:13:37-0600,2021-06-22 09:13:46-0600,6/22/2021,,,Entrepreneur Community 11,L-0408,T-3848,500,500,6/22/2021,HTG,Processed
2021-06-22 09:14:33-0600,2021-06-22 09:14:38-0600,6/22/2021,,,Entrepreneur Community 11,L-0342,T-3240,500,500,6/22/2021,HTG,Processed
2021-06-22 09:15:58-0600,2021-06-22 09:16:06-0600,6/22/2021,,,Entrepreneur Community 11,L-0343,T-3249,500,500,6/22/2021,HTG,Processed
2021-06-22 09:16:48-0600,2021-06-22 09:16:54-0600,6/22/2021,,,Entrepreneur Community 11,L-0344,T-3258,500,500,6/22/2021,HTG,Processed
2021-06-22 09:17:23-0600,2021-06-22 09:17:28-0600,6/22/2021,,,Entrepreneur Community 11,L-0804,T-8256,500,500,6/22/2021,HTG,Processed
2021-06-22 09:18:22-0600,2021-06-22 09:18:27-0600,6/22/2021,,,Entrepreneur Community 11,L-0346,T-3276,500,500,6/22/2021,HTG,Processed
2021-06-22 09:20:18-0600,2021-06-22 09:20:24-0600,6/22/2021,,,Entrepreneur Community 11,L-0349,T-3303,500,500,6/22/2021,HTG,Processed
